	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
22076	Tmem176a	chr4	78458734-78462415	63	0.308129	78467931	0.511267426	TMEM176A
22077	Tmem176b	chr4	"78450723-78458179,78450723-78458179,78450723-78458179,78450723-78458179,78450723-78458179,78450723-78458179,78450723-78458179,78450723-78458598,78450723-78458600"	67	0.301683	78447816	0.520449162	TMEM176B
22078	Tmem177	chr13	"35929782-35933207,35929782-35933271,35929817-35933243"	131	0.136516	35934325	0.864816445	TMEM177
22079	Tmem178b	chr4	67669265-68059249	653	4.16E-07	67882066	6.380574811	TMEM178B
22080	Tmem179	chr6	137073683-137084739	35	0.0449685	137085496	1.347091599	TMEM179
22081	Tmem179b	chr1	"224972217-224974203,224972219-224975091"	11	0.00208833	224981714	2.680200873	TMEM179B
22082	Tmem18	chr6	49529227-49534960	53	0.0152362	49522580	1.817123335	TMEM18
22083	Tmem182	chr9	47536823-47588677	108	0.295757	47593934	0.529064968	TMEM182
22084	Tmem183a	chr13	"51184646-51201401,51184646-51201401,51186094-51201331"	23	0.458125	51206063	0.339016008	TMEM183A
22085	Tmem184a	chr12	"16906862-16922459,16912281-16924143,16912282-16922459,16913311-16921427"	49	0.049533	16918749	1.305105368	TMEM184A
22086	Tmem184b	chr7	"120593335-120630641,120593335-120636432,120593335-120636576,120593335-120636592"	91	0.0272673	120627573	1.564357864	TMEM184B
22087	Tmem184c	chr19	"34041127-34057165,34041218-34057159,34041708-34057165"	45	0.0028337	34037520	2.54764613	TMEM184C
22088	Tmem185b	chr13	35554620-35557952	22	0.279069	35557755	0.554288404	TMEM185B
22089	Tmem186	chr10	7077487-7080806	28	0.0213512	7078367	1.670577711	TMEM186
22090	Tmem189	chr3	164376620-164388213	45	0.459582	164387743	0.337636989	TMEM189
22091	Tmem19	chr7	"58316582-58343137,58316582-58343192,58316582-58343393,58316582-58343761,58321971-58343196"	4	0.638296	58310568	0.194977877	TMEM19
22092	Tmem190	chr1	"72629705-72633423,72630435-72633419,72630435-72633421,72630435-72633422"	25	0.0548653	72624253	1.260702242	TMEM190
22093	Tmem191c	chr11	"87975507-87978225,87975507-87978225,87975507-87982861,87975507-87982861,87975637-87978225,87975812-87978225"	39	0.340752	87975824	0.467561586	TMEM191C
22094	Tmem196	chr6	"147874535-147937580,147874535-147938810,147874535-147938810,147874535-147938810,147874535-147940231,147876236-147938168"	27	0.163699	147897426	0.785953974	TMEM196
22095	Tmem198	chr9	82673958-82680151	11	0.16788	82688284	0.775001039	TMEM198
22096	Tmem198b	chr7	"3224830-3228580,3224830-3228754,3224830-3228754,3224830-3228846,3224830-3229074,3224830-3229074,3224830-3230129,3224830-3230129,3224832-3229167"	19	0.12489	3216195	0.903472334	
22097	Tmem199	chr10	65775720-65780293	53	0.220192	65787724	0.657198464	TMEM199
22098	Tmem2	chr1	"239397321-239474536,239397321-239474536,239397875-239474536,239405165-239474536,239405165-239474536,239412883-239474931"	180	0.28829	239484389	0.540170422	
22099	Tmem200a	chr1	"20330669-20413921,20330669-20413921,20331975-20412381,20368653-20413921"	244	0.277746	20320726	0.556352187	TMEM200A
22100	Tmem200b	chr5	150079503-150082268	25	0.291236	150092088	0.535754942	TMEM200B
22101	Tmem201	chr5	166672699-166695288	91	0.213494	166663474	0.670614326	TMEM201
22102	Tmem202	chr8	64299645-64305330	47	0.0947134	64292872	1.023588573	TMEM202
22103	Tmem203	chr3	2474971-2475800	14	0.630107	2483383	0.200585696	TMEM203
22104	Tmem204	chr10	"14417607-14443010,14417607-14446272"	94	0.00406146	14441613	2.39131782	TMEM204
22105	Tmem205	chr8	"22932174-22937909,22932178-22937341,22932178-22937803,22932178-22937803,22932178-22937803,22932178-22937803,22932178-22937953,22932178-22937953"	25	0.00199399	22931164	2.700277024	TMEM205
22106	Tmem206	chr13	"110006974-110032056,110006979-110032790,110007009-110031897"	99	0.0447035	110036970	1.349658473	TMEM206
22107	Tmem207	chr11	"77644538-77664616,77644540-77664616"	107	0.127724	77642731	0.893727489	TMEM207
22108	Tmem209	chr4	"57796336-57823283,57797600-57823078,57797600-57823230"	19	0.1862	57787785	0.730020323	TMEM209
22109	Tmem211	chr12	49401767-49406037	13	0.198495	49411846	0.702250428	TMEM211
22110	Tmem212	chr2	"113578613-113616786,113584421-113616766,113598990-113616766,113600717-113616786"	156	0.0499645	113569720	1.301338454	TMEM212
22111	Tmem213	chr4	"65800409-65823205,65800411-65807480"	12	0.190341	65800632	0.720467653	TMEM213
22112	Tmem216	chr1	"226601200-226606344,226601202-226606417"	7	0.0281236	226612283	1.550929088	TMEM216
22113	Tmem217	chr20	8202164-8202956	44	0.124966	8210894	0.903208131	TMEM217
22114	Tmem218	chr8	"39687279-39702722,39687396-39702722"	52	0.256035	39685316	0.591700663	TMEM218
22115	Tmem220	chr10	"53570979-53579994,53570979-53579994,53570979-53579994"	25	0.0290416	53589001	1.536979461	TMEM220
22116	Tmem221	chr16	19984367-19992507	20	0.202477	20001940	0.693624303	TMEM221
22117	Tmem223	chr1	224970806-224972168	10	0.00208833	224981714	2.680200873	TMEM223
22118	Tmem225	chr8	44001198-44003757	7	0.0863502	44006816	1.063736652	TMEM225
22119	Tmem229a	chr4	52345604-52350624	24	0.425003	52352331	0.371608004	TMEM229A
22120	Tmem229b	chr6	"102152145-102162358,102152145-102167992,102152145-102168577,102152145-102171091,102152145-102194506,102152145-102194787,102152145-102195596,102152145-102195596,102152145-102196220,102152145-102196220,102152145-102196220,102152145-102196220,102152145-102196372,102152145-102196372,102152146-102196138"	88	0.0446897	102169860	1.349792561	TMEM229B
22121	Tmem231	chr19	44137443-44158624	49	0.0146808	44159536	1.833250278	TMEM231
22122	Tmem232	chr9	"113008842-113238393,113111325-113266257"	912	0.00783037	113103541	2.106217716	TMEM232
22123	Tmem233	chr12	46287404-46297570	33	0.604476	46291085	0.218620938	TMEM233
22124	Tmem234	chr5	"147803889-147811300,147803889-147812186"	56	0.0865172	147798585	1.062897544	TMEM234
22125	Tmem235	chr10	"106864830-106875091,106864830-106875091,106864830-106875091,106864830-106875091"	84	0.156692	106864819	0.804953176	TMEM235
22126	Tmem236	chr17	81280631-81342112	56	0.0881111	81306253	1.054969377	TMEM236
22127	Tmem237	chr9	"65882062-65916804,65882062-65917094,65882062-65917424,65885245-65917132"	138	0.0579235	65925650	1.237145204	TMEM237
22128	Tmem238	chr1	72623408-72629606	31	0.0548653	72624253	1.260702242	TMEM238
22129	Tmem239	chr3	"122929766-122931577,122929766-122931577"	28	0.0833066	122928290	1.07932059	TMEM239
22130	Tmem240	chr5	"173182814-173188487,173183680-173189683,173183681-173189683,173183685-173189101"	50	0.0304576	173195052	1.516304321	TMEM240
22131	Tmem241	chr18	"3407267-3555741,3407267-3555741,3442467-3555741,3444945-3555740,3454945-3555740"	524	8.12E-05	3541263	4.09069328	TMEM241
22132	Tmem242	chr1	"46302545-46329885,46302713-46329682"	28	0.702851	46328575	0.153136733	TMEM242
22133	Tmem243	chr4	"21902802-21920651,21902810-21920524"	92	0.129471	21927602	0.887827498	TMEM243
22134	Tmem245	chr5	"73909031-73986602,73909031-73986602,73909031-73986602,73909031-73986602"	84	0.14734	73984405	0.831679334	TMEM245
22135	Tmem246	chr5	"64848656-64850427,64848656-64857002,64848656-64863486,64848656-64863486,64848656-64865029,64848656-64867925"	136	0.000357088	64868768	3.447224744	TMEM246
22136	Tmem247	chr6	10483307-10488255	111	0.143468	10476164	0.843244956	TMEM247
22137	Tmem248	chr12	"29931727-29952231,29931727-29955090,29933902-29958050"	66	0.0619153	29921977	1.208202018	TMEM248
22138	Tmem249	chr7	117599000-117601894	69	0.00557489	117589981	2.253763697	TMEM249
22139	Tmem25	chr8	"49100758-49106177,49101646-49106168,49101646-49106254,49101646-49106258"	1	0.231857	49095246	0.634779788	TMEM25
22140	Tmem251	chr6	126622691-126630642	13	0.267057	126622698	0.573396034	TMEM251
22141	Tmem253	chr15	28413413-28416039	9	0.74852	28425308	0.125796591	TMEM253
22142	Tmem255b	chr16	"81181094-81209429,81181096-81209429,81182483-81209429,81188195-81209429,81204765-81209424"	51	0.0189485	81219260	1.722425164	TMEM255B
22143	Tmem258	chr1	226256141-226260006	26	0.300459	226255610	0.522214783	TMEM258
22144	Tmem258b	chr9	61552335-61552716	10	0.000607397	61548489	3.216527357	
22145	Tmem259	chr7	"12771238-12777896,12771238-12777896,12771238-12777901"	32	0.137305	12767676	0.862313648	TMEM259
22146	Tmem26	chr20	21640654-21689655	64	0.207535	21684214	0.682908651	TMEM26
22147	Tmem260	chr15	25294451-25361623	363	3.90E-05	25318657	4.408681572	TMEM260
22148	Tmem261	chr5	92038049-92039146	22	0.379693	92046331	0.420567409	
22149	Tmem262	chr1	"221443476-221445043,221443895-221444612"	28	5.16E-05	221438080	4.286972559	TMEM262
22150	Tmem263	chr7	"24647082-24667301,24650158-24668354,24650158-24668381"	62	0.106104	24670192	0.974268243	TMEM263
22151	Tmem265	chr1	"199007636-199011533,199007636-199011533"	15	0.104486	199002193	0.980941896	TMEM265
22152	Tmem266	chr8	59952731-60014363	277	0.00143792	59994145	2.842265276	TMEM266
22153	Tmem267	chr2	"52356448-52366075,52358363-52366075,52358363-52366075,52358602-52366075,52358602-52366075"	98	0.213849	52362457	0.669892776	TMEM267
22154	Tmem268	chr5	"79380986-79407435,79382054-79407435,79382054-79407435,79382054-79407435,79382054-79407435,79383510-79407433"	41	0.0774678	79413485	1.110878777	TMEM268
22155	Tmem30a	chr8	"87222106-87245953,87223946-87245951"	25	0.512911	87213693	0.289957987	TMEM30A
22156	Tmem30b	chr6	96439606-96442682	57	0.205875	96432291	0.686396388	TMEM30B
22157	Tmem30c	chr11	"45337501-45356495,45337517-45356425,45337678-45356495"	60	0.884897	45357040	0.053107277	
22158	Tmem33	chr14	"42537351-42559580,42537351-42559580"	53	0.147452	42551342	0.831349332	TMEM33
22159	Tmem35b	chr5	145188322-145191953	29	0.837934	145197997	0.076790187	TMEM35B
22160	Tmem38a	chr16	18960196-18974942	44	0.169695	18981498	0.770330954	TMEM38A
22161	Tmem38b	chr5	70639155-70675055	106	0.24346	70652057	0.613572382	TMEM38B
22162	Tmem39a	chr11	64723180-64752514	22	0.00103486	64739944	2.985118399	TMEM39A
22163	Tmem39b	chr5	"147889870-147906872,147889870-147906872,147889870-147907174,147889870-147907778,147889873-147910057"	102	0.0554273	147898928	1.256276276	TMEM39B
22164	Tmem40	chr4	147645332-147657847	46	0.50812	147650843	0.294033711	TMEM40
22165	Tmem41a	chr11	82734524-82741177	52	0.887083	82743869	0.052035743	TMEM41A
22166	Tmem42	chr8	132105964-132108462	28	0.0337469	132114911	1.471766115	TMEM42
22167	Tmem43	chr4	123118467-123133610	3	0.344185	123139959	0.463208061	TMEM43
22168	Tmem44	chr11	"73737322-73774149,73737323-73774149"	131	0.27246	73753692	0.564697248	TMEM44
22169	Tmem45b	chr8	"32563871-32609212,32564822-32599123"	36	0.0303148	32564944	1.518345293	TMEM45B
22170	Tmem5	chr7	"64329340-64341201,64329347-64341199,64329349-64341126"	62	0.0904851	64339453	1.043422929	
22171	Tmem50b	chr11	"31719440-31744059,31719440-31747205,31719440-31752098,31719440-31752098,31719440-31752243,31719440-31752276,31719440-31752276"	45	0.0627377	31735355	1.202471407	TMEM50B
22172	Tmem51	chr5	"160570509-160619597,160570510-160620334,160571163-160587605,160571163-160597805,160571163-160619282,160571163-160620647,160571163-160620647"	277	0.00169947	160574078	2.769686497	TMEM51
22173	Tmem52	chr5	"172887586-172889349,172887798-172889349"	11	0.0461765	172891409	1.335578988	TMEM52
22174	Tmem52b	chr4	"163267409-163273533,163267440-163272636"	6	0.630062	163264712	0.200616713	TMEM52B
22175	Tmem53	chr5	"136112416-136127976,136112476-136127629,136112476-136127629,136112476-136127629,136123464-136127631"	57	0.0090774	136128055	2.042038527	TMEM53
22176	Tmem54	chr5	147288699-147295191	9	0.394991	147298184	0.4034128	TMEM54
22177	Tmem55a	chr5	28395516-28442924	237	0.0236715	28433096	1.625774221	
22178	Tmem55b	chr15	"27852151-27855998,27852151-27855998,27852151-27855998,27852151-27855999"	2	0.20227	27850082	0.694068526	
22179	Tmem56	chr2	"224768033-224824172,224768033-224824172,224768033-224824511,224768033-224824511,224768033-224843198,224768033-224843198,224772892-224802997"	345	0.0201217	224777495	1.69633533	TMEM56
22180	Tmem59	chr5	126783060-126804177	51	0.348103	126810831	0.458292234	TMEM59
22181	Tmem59l	chr16	"20691955-20695686,20691977-20695701"	3	0.247163	20701072	0.607016542	TMEM59L
22182	Tmem60	chr4	10818023-10822879	29	0.00059482	10822738	3.225614437	TMEM60
22183	Tmem62	chr3	112915414-112950418	159	0.0243496	112954038	1.613508169	TMEM62
22184	Tmem63a	chr13	"99219584-99253176,99220509-99253176,99220599-99253176,99221002-99253176,99221002-99253176"	145	0.148428	99238359	0.828484164	TMEM63A
22185	Tmem63b	chr9	"17698696-17725479,17698721-17725479"	90	0.148311	17733149	0.828826637	TMEM63B
22186	Tmem63c	chr6	"111044098-111120659,111044801-111120659,111049514-111116904,111049516-111120659,111049516-111120659,111049516-111120659,111049516-111120659,111049516-111120659,111049516-111120659,111049558-111118873,111049845-111120659,111049979-111120659,111049979-111120659,111077721-111120659"	187	0.0378027	111073813	1.42247718	TMEM63C
22187	Tmem64	chr5	"28850863-28870593,28850863-28898203"	168	0.0221758	28882479	1.654120704	TMEM64
22188	Tmem65	chr7	98668588-98709613	95	0.190898	98666271	0.719198622	TMEM65
22189	Tmem67	chr5	25666137-25721056	95	0.743379	25730332	0.128789712	TMEM67
22190	Tmem68	chr5	"16363907-16413302,16382537-16413307,16382759-16413302,16384079-16413302"	230	0.00222287	16364601	2.653085935	TMEM68
22191	Tmem69	chr5	135394012-135397591	7	0.451864	135406977	0.344992258	TMEM69
22192	Tmem70	chr5	2019851-2037038	16	0.117952	2040807	0.928294691	TMEM70
22193	Tmem71	chr7	107264234-107392808	92	0.429546	107260027	0.366990321	TMEM71
22194	Tmem72	chr4	148819905-148845199	136	0.0495928	148840197	1.304581371	TMEM72
22195	Tmem74	chr7	82684665-82689753	13	0.88058	82676175	0.055231183	TMEM74
22196	Tmem79	chr2	"187701521-187706300,187701522-187706223,187701522-187706223,187701522-187706452,187701522-187706452"	22	0.530822	187692571	0.275051086	TMEM79
22197	Tmem80	chr1	"214317299-214326293,214317299-214326293"	22	0.36143	214322696	0.441975802	TMEM80
22198	Tmem81	chr13	49277721-49280153	17	0.659648	49285597	0.18068775	TMEM81
22199	Tmem82	chr5	"160170616-160175118,160170616-160175118,160170616-160175118,160170616-160175118"	83	0.00510816	160162452	2.291735508	TMEM82
22200	Tmem86a	chr1	103173031-103177382	19	0.825264	103167288	0.083407099	TMEM86A
22201	Tmem86b	chr1	"72784146-72787361,72785000-72787367,72785150-72807768"	74	0.244822	72807712	0.611149559	TMEM86B
22202	Tmem87a	chr3	"112128137-112174097,112128137-112174097,112158417-112174097"	103	0.0917213	112137425	1.037529798	TMEM87A
22203	Tmem87b	chr3	"121357786-121393443,121357787-121385253,121357787-121393443,121358005-121390971"	33	0.0723768	121403107	1.140400622	TMEM87B
22204	Tmem88	chr10	55998529-56000225	5	0.197238	55992028	0.70500941	TMEM88
22205	Tmem88b	chr5	173230363-173233188	69	0.0325334	173221702	1.487670547	TMEM88B
22206	Tmem89	chr8	117660974-117661869	21	2.34E-06	117662978	5.630394566	TMEM89
22207	Tmem8a	chr10	"15484951-15495380,15485904-15495377,15486219-15495380"	49	0.0112848	15486417	1.947506133	TMEM8A
22208	Tmem8b	chr5	59165551-59193772	46	0.70649	59184492	0.150893981	TMEM8B
22209	Tmem8c	chr3	"5608242-5617225,5608247-5611689,5608247-5617224,5608247-5617689"	27	0.508219	5616821	0.293949103	
22210	Tmem9	chr13	"52854030-52871300,52854137-52871300"	80	0.393882	52874704	0.404633866	TMEM9
22211	Tmem97	chr10	65811454-65820538	22	0.234943	65804307	0.62903749	TMEM97
22212	Tmem9b	chr1	"174360532-174380326,174361690-174379566"	1	0.616306	174388559	0.210203604	TMEM9B
22213	Tmf1	chr4	"129521985-129544506,129524339-129546024,129524651-129546024"	48	0.441224	129525362	0.355340873	TMF1
22214	Tmie	chr8	"119142115-119149937,119142116-119150662,119142433-119157071"	98	3.05E-05	119137092	4.515412625	TMIE
22215	Tmigd1	chr10	63262553-63274598	99	0.0308928	63271730	1.510142727	TMIGD1
22216	Tmlhe	chr20	"237460-285125,237505-284943"	211	0.000389309	249741	3.409705556	TMLHE
22217	Tmod1	chr5	"61635243-61710824,61635610-61712052"	111	0.0027016	61625737	2.568378952	TMOD1
22218	Tmod2	chr8	"82505946-82537445,82505946-82537446,82505946-82546679,82505946-82547450,82507054-82533679"	101	0.0991134	82508474	1.003867626	TMOD2
22219	Tmod3	chr8	82432164-82492243	417	0.111195	82436601	0.953914741	TMOD3
22220	Tmpo	chr7	"31847411-31872416,31847411-31872416,31847412-31872371,31860212-31872416"	33	0.453884	31839429	0.343055126	TMPO
22221	Tmppe	chr8	"122439678-122447208,122439773-122447208"	66	0.171136	122430025	0.766658623	TMPPE
22222	Tmprss11a	chr14	23226734-23284515	292	0.0581888	23218823	1.235160599	TMPRSS11A
22223	Tmprss11c	chr14	23405716-23461384	30	0.683528	23405997	0.16524369	
22224	Tmprss11d	chr14	"23330932-23392993,23377332-23392993"	47	0.685429	23361268	0.164037525	TMPRSS11D
22225	Tmprss11e	chr14	23061004-23114471	180	0.045003	23078771	1.346758534	TMPRSS11E
22226	Tmprss11f	chr14	"23982414-24080477,23982414-24080477"	186	0.0374575	24023817	1.426461212	TMPRSS11F
22227	Tmprss11g	chr14	23166632-23207327	128	0.0456175	23167642	1.340868519	
22228	Tmprss12	chr7	141953335-141966814	31	0.000188651	141943902	3.724340888	TMPRSS12
22229	Tmprss13	chr8	49621567-49650863	16	0.550767	49625359	0.259032089	TMPRSS13
22230	Tmprss15	chr11	"17561590-17684897,17561595-17684903"	347	0.126662	17691026	0.897353659	TMPRSS15
22231	Tmprss2	chr11	"38063913-38103321,38063915-38103401,38066297-38103132,38066297-38103235,38066297-38103406"	60	0.0501042	38079678	1.300125868	TMPRSS2
22232	Tmprss3	chr20	9910521-9929705	37	0.0394255	9916369	1.40422279	TMPRSS3
22233	Tmprss4	chr8	"49469803-49487557,49469803-49503304,49470037-49502636"	99	0.343765	49508114	0.463738343	TMPRSS4
22234	Tmprss6	chr7	"119659322-119689953,119659322-119689953,119659323-119689938"	45	0.469273	119694562	0.328574433	TMPRSS6
22235	Tmprss7	chr11	60102124-60138065	36	0.34909	60120346	0.457062592	TMPRSS7
22236	Tmprss9	chr7	"11678590-11699436,11678590-11710581"	66	0.404479	11718246	0.393104021	TMPRSS9
22237	Tmsb10	chr4	"100882215-100883275,100882215-100883303"	39	0.0607376	100884523	1.216542373	TMSB10
22238	Tmtc1	chr4	182620131-182845620	332	0.0325359	182807842	1.487637175	TMTC1
22239	Tmtc2	chr7	"47179595-47586777,47181438-47586137"	812	0.000461386	47510398	3.335935588	TMTC2
22240	Tmtc3	chr7	"40171956-40216860,40171956-40217051,40171962-40217056"	172	0.14228	40162142	0.846856143	TMTC3
22241	Tmtc4	chr15	"109338761-109394832,109338761-109394832,109339563-109394905"	73	0.0904795	109359416	1.043449808	TMTC4
22242	Tmub1	chr4	"7257751-7260318,7257820-7260318,7258175-7260318"	13	0.140619	7254925	0.851955995	TMUB1
22243	Tmub2	chr10	"90230427-90234687,90230495-90234687,90230710-90234874"	32	0.0702687	90229541	1.153238081	TMUB2
22244	Tmx1	chr6	"92864122-92874210,92864592-92875141"	31	0.0426076	92881520	1.370512928	TMX1
22245	Tmx2	chr3	72073428-72081079	7	0.0321359	72083147	1.493009533	TMX2
22246	Tnc	chr5	"79789685-79874549,79789685-79874553,79789685-79874554,79789685-79874555,79789685-79874555,79790274-79849865"	296	0.0631652	79869905	1.199522124	TNC
22247	Tnf	chr20	5189381-5192000	4	0.0273102	5181514	1.563675119	TNF
22248	Tnfaip1	chr10	65791001-65805693	53	0.220192	65787724	0.657198464	TNFAIP1
22249	Tnfaip2	chr6	"135890868-135903644,135890930-135903647"	9	0.0507032	135895483	1.29496463	TNFAIP2
22250	Tnfaip8l1	chr9	"10894948-10905633,10894948-10905647"	13	0.274991	10909854	0.56068152	TNFAIP8L1
22251	Tnfaip8l3	chr8	58599381-58648045	188	0.00708422	58646987	2.14970796	TNFAIP8L3
22252	Tnfrsf10b	chr15	51433852-51464215	6	0.188906	51456355	0.723754248	TNFRSF10B
22253	Tnfrsf11a	chr13	"25778305-25835802,25778328-25835802"	123	0.136144	25804572	0.866001494	TNFRSF11A
22254	Tnfrsf11b	chr7	93798579-93826586	163	0.455725	93795946	0.341297146	TNFRSF11B
22255	Tnfrsf12a	chr10	12995903-12997930	17	0.17467	12998896	0.75778168	TNFRSF12A
22256	Tnfrsf13b	chr10	"47399833-47420962,47411810-47422907"	82	0.0318734	47430751	1.496571607	TNFRSF13B
22257	Tnfrsf13c	chr7	123453798-123456289	44	0.0180662	123462736	1.743133186	TNFRSF13C
22258	Tnfrsf14	chr5	"172328258-172335734,172328258-172335892,172328258-172336316,172328258-172337219,172328258-172337220,172328258-172337220,172328258-172337220,172328258-172337221"	35	0.265312	172338358	0.576243107	TNFRSF14
22259	Tnfrsf17	chr10	"4252096-4258335,4252097-4257846"	47	0.0560509	4244099	1.25141741	TNFRSF17
22260	Tnfrsf18	chr5	"173459370-173463980,173459370-173463980,173460629-173463228"	26	0.360749	173465731	0.442794864	TNFRSF18
22261	Tnfrsf19	chr15	41249819-41316203	112	0.0600513	41258710	1.221477586	TNFRSF19
22262	Tnfrsf1a	chr4	"157864904-157877634,157864989-157877633"	39	0.0103149	157875779	1.986534978	TNFRSF1A
22263	Tnfrsf1b	chr5	163136389-163167299	8	0.224144	163166376	0.649472882	TNFRSF1B
22264	Tnfrsf21	chr9	20546158-20621051	108	0.00373387	20630024	2.427840807	TNFRSF21
22265	Tnfrsf22	chr1	216845788-216859606	94	0.0544537	216836264	1.263972606	
22266	Tnfrsf25	chr5	"169288418-169293131,169288418-169293131,169288870-169293137"	21	0.6174	169286964	0.209433375	TNFRSF25
22267	Tnfrsf26	chr1	"216808641-216829361,216808669-216828581"	136	0.0544537	216836264	1.263972606	
22268	Tnfrsf4	chr5	173447783-173450474	27	0.365722	173454972	0.436848914	TNFRSF4
22269	Tnfrsf8	chr5	163186348-163231578	45	0.0867071	163220884	1.061945339	TNFRSF8
22270	Tnfrsf9	chr5	"168009244-168035813,168009244-168035813,168009392-168035813,168009803-168035813,168017536-168035813"	37	0.0368475	167999302	1.433591972	TNFRSF9
22271	Tnfsf10	chr2	"113008007-113026899,113008011-113026899,113008014-113026899,113008323-113024795"	45	0.0572515	113028909	1.24221313	TNFSF10
22272	Tnfsf11	chr15	60482526-60512704	18	0.0266486	60476809	1.574325602	TNFSF11
22273	Tnfsf12	chr10	"56290779-56300077,56290779-56300137"	1	0.0618876	56283413	1.208396359	TNFSF12
22274	Tnfsf13	chr10	"56286963-56289708,56286968-56289952,56286968-56290680,56286970-56289708"	1	0.0618876	56283413	1.208396359	TNFSF13
22275	Tnfsf13b	chr16	"85275689-85306417,85275689-85306418,85275689-85306419,85275689-85306419,85287515-85306088"	78	0.590639	85271531	0.22867788	TNFSF13B
22276	Tnfsf14	chr9	"9761362-9765461,9761535-9765186"	9	0.647523	9757293	0.188744801	TNFSF14
22277	Tnfsf15	chr5	79553934-79569974	102	0.0687721	79544237	1.162587714	TNFSF15
22278	Tnfsf18	chr13	79378411-79388687	8	0.692495	79387916	0.159583358	TNFSF18
22279	Tnfsf8	chr5	"79664778-79691547,79667717-79690915"	63	0.0307067	79699086	1.512766854	TNFSF8
22280	Tnik	chr2	"113984598-114391805,113984598-114391805,113984599-114391805,113984599-114391805,113984645-114382836"	616	0.0101205	114300511	1.994798031	TNIK
22281	Tnip1	chr10	"40255775-40296469,40255775-40296478,40255775-40296478,40255775-40296478,40255775-40303072,40255775-40303092"	144	0.750999	40248287	0.124360641	TNIP1
22282	Tnip2	chr14	"81487933-81505889,81488011-81505009"	45	0.0116257	81499806	1.934580888	TNIP2
22283	Tnk2	chr11	"71348725-71371213,71348725-71371213,71348725-71371214,71348725-71371214,71348725-71371214,71348725-71371214,71348725-71371214,71348725-71374628,71348725-71387992,71348725-71388520,71350856-71371214,71350856-71371214,71350856-71371214,71350856-71371214"	16	0.0906963	71396569	1.04241043	TNK2
22284	Tnks	chr16	60925092-61067192	393	0.33035	61014107	0.481025689	TNKS
22285	Tnks1bp1	chr3	"72458519-72483206,72458534-72483206,72458904-72483206,72460904-72483206"	52	0.0270382	72490311	1.568022224	TNKS1BP1
22286	Tnn	chr13	"77829383-77896831,77829383-77896831,77829383-77896831,77829388-77896741"	149	0.0506871	77867988	1.295102556	TNN
22287	Tnnc1	chr16	7292206-7295238	52	0.768312	7301934	0.114462384	TNNC1
22288	Tnnc2	chr3	161243606-161246335	7	0.220083	161251034	0.657413503	TNNC2
22289	Tnni1	chr13	"52624855-52637297,52624855-52637297,52624972-52637297,52624981-52637297,52625440-52636257,52629426-52636258,52629427-52637297,52629428-52637297"	62	0.148676	52616100	0.827759132	TNNI1
22290	Tnni2	chr1	215609109-215611652	18	0.0119533	215603524	1.922512181	TNNI2
22291	Tnni3	chr1	72882805-72886490	43	0.0564033	72882316	1.248695486	TNNI3
22292	Tnni3k	chr2	"261069209-261337291,261069211-261337132,261094179-261337293,261094179-261337294,261115796-261337289,261140337-261337289"	519	0.145814	261336636	0.836200776	FPGT-TNNI3K
22293	Tnnt1	chr1	"72889269-72899629,72889269-72899629,72889269-72899629,72889269-72899629"	49	0.0564033	72882316	1.248695486	TNNT1
22294	Tnnt2	chr13	"52662973-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662974-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662975-52680992,52662976-52680992,52663073-52680992,52663074-52680992,52667968-52680990"	111	0.159444	52653502	0.797391819	TNNT2
22295	Tnnt3	chr1	"215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666627-215683628,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623,215666641-215683623"	38	0.00366036	215685308	2.436476199	TNNT3
22296	Tnp1	chr9	80294836-80295446	58	0.68809	80291870	0.162354754	TNP1
22297	Tnp2	chr10	4953897-4954626	39	0.0222282	4959253	1.653095704	TNP2
22298	Tnpo1	chr2	"29056218-29121104,29056218-29121820,29056218-29121820,29056218-29126882"	69	0.410832	29135232	0.386335736	TNPO1
22299	Tnpo3	chr4	"56820022-56897310,56820632-56896928"	208	0.00753871	56905135	2.122702963	TNPO3
22300	Tnr	chr13	77602248-77678385	241	0.0517767	77656980	1.285865633	TNR
22301	Tnrc18	chr12	13807818-13912295	103	0.211795	13847363	0.674084297	TNRC18
22302	Tnrc6a	chr1	"192991583-193146403,192991583-193146403,192991583-193146403,192991584-193144035,193076126-193146403,193076429-193146394"	298	0.0265358	192986510	1.576167815	TNRC6A
22303	Tnrc6b	chr7	"121930609-122147934,121930609-122147934,121930610-122147934,121930610-122147934,121930611-122147934,121930637-122147934,121984336-122147934,122017592-122147934,122072802-122147934"	122	0.650489	121955704	0.186760043	TNRC6B
